"id","season","week","seasonType","startTime","gameIndoors","homeTeam","homeConference","awayTeam","awayConference","venueId","venue","temperature","dewPoint","humidity","precipitation","snowfall","windDirection","windSpeed","pressure","weatherConditionCode","weatherCondition"
401636873,2024,4,"regular","2024-09-21T16:00:00.000Z",FALSE,"Cincinnati","Big 12","Houston","Big 12",3854,"Nippert Stadium",86.9,67.1,52,0,0,310,3.4,1013,3,"Cloudy"
401628979,2024,4,"regular","2024-09-21T19:30:00.000Z",FALSE,"Notre Dame","FBS Independents","Miami (OH)","Mid-American",3855,"Notre Dame Stadium",92.1,53.4,27,0,0,0,0,1012.9,1,"Clear"
401628492,2024,4,"regular","2024-09-21T16:00:00.000Z",FALSE,"Ohio State","Big Ten","Marshall","Sun Belt",3861,"Ohio Stadium",89.8,51.4,27,0,0,340,9.2,1012.9,1,"Clear"
401628372,2024,4,"regular","2024-09-21T23:30:00.000Z",FALSE,"Texas A&M","SEC","Bowling Green","Mid-American",3795,"Kyle Field",91.8,64.8,41,0,0,140,8.1,1009.5,2,"Fair"
401635554,2024,4,"regular","2024-09-21T19:30:00.000Z",FALSE,"Louisville","ACC","Georgia Tech","ACC",3873,"L&N Federal Credit Union Stadium",93.2,68,44,0,0,261,4.7,1011.5,3,"Cloudy"
401629031,2024,4,"regular","2024-09-21T23:00:00.000Z",FALSE,"UConn","FBS Independents","Florida Atlantic","American Athletic",3892,"Pratt & Whitney Stadium",64.4,53.6,68,0,0,360,8.1,1016,3,"Cloudy"
401644737,2024,4,"regular","2024-09-21T18:00:00.000Z",FALSE,"Eastern Michigan","Mid-American","St. Francis (PA)","NEC",3912,"Rynearson Stadium",84.4,56.1,40,0,0,320,7,1011.9,1,"Clear"
401628488,2024,4,"regular","2024-09-21T16:00:00.000Z",FALSE,"Maryland","Big Ten","Villanova","CAA",3665,"SECU Stadium",77.7,63.7,62,0,0,170,5.8,1015,1,"Clear"
401643791,2024,4,"regular","2024-09-21T16:00:00.000Z",FALSE,"Louisiana","Sun Belt","Tulane","American Athletic",3666,"Cajun Field",89.2,70.5,54,0,0,90,5.8,1014,1,"Clear"
401628364,2024,4,"regular","2024-09-21T16:45:00.000Z",FALSE,"Kentucky","SEC","Ohio","Mid-American",3683,"Kroger Field",86.9,70.9,59,0.004,0,290,8.1,1013.5,17,"Rain Shower"
401628367,2024,4,"regular","2024-09-21T16:00:00.000Z",FALSE,"Mississippi State","SEC","Florida","SEC",3693,"Davis Wade Stadium",87.6,67.8,52,0,0,170,5.8,1015,1,"Clear"
401635551,2024,4,"regular","2024-09-21T23:00:00.000Z",FALSE,"Florida State","ACC","California","ACC",3697,"Doak Campbell Stadium",84.9,68,57,0,0,50,3.4,1012.7,2,"Fair"
401634247,2024,4,"regular","2024-09-21T19:30:00.000Z",FALSE,"Pittsburgh","ACC","Youngstown State","MVFC",3752,"Acrisure Stadium",90.9,57.2,32,0,0,320,13.9,1011.3,2,"Fair"
401628363,2024,4,"regular","2024-09-21T19:30:00.000Z",FALSE,"Auburn","SEC","Arkansas","SEC",3785,"Jordan-Hare Stadium",88.2,67.8,51,0,0,120,3.7,1015,2,"Fair"
401643714,2024,4,"regular","2024-09-21T02:00:00.000Z",FALSE,"Washington State","Pac-12","San José State","Mountain West",3820,"Gesa Field",57.2,34.3,42,0,0,260,4.3,1019,3,"Cloudy"
401643716,2024,4,"regular","2024-09-21T23:00:00.000Z",FALSE,"North Texas","American Athletic","Wyoming","Mountain West",3825,"DATCU Stadium",93,64.4,39,0,0,170,12.7,1008.7,1,"Clear"
401628369,2024,4,"regular","2024-09-21T23:30:00.000Z",FALSE,"Oklahoma","SEC","Tennessee","SEC",3835,"Memorial Stadium (Norman, OK)",93.2,62.2,36,0,0,140,10.3,1010,2,"Fair"
401635552,2024,4,"regular","2024-09-21T16:00:00.000Z",FALSE,"Clemson","ACC","NC State","ACC",3836,"Memorial Stadium (Clemson, SC)",85.6,67.6,55,0,0,280,5.8,1015.4,3,"Cloudy"
401628368,2024,4,"regular","2024-09-21T20:15:00.000Z",FALSE,"Missouri","SEC","Vanderbilt","SEC",3838,"Memorial Stadium",75.7,70.5,84,0,0,170,10.3,1011.8,3,"Cloudy"
401645328,2024,4,"regular","2024-09-21T16:00:00.000Z",FALSE,"Army","American Athletic","Rice","American Athletic",3841,"Michie Stadium",77.5,55.8,47,0,0,60,8.1,1016,3,"Cloudy"
401636879,2024,4,"regular","2024-09-21T16:00:00.000Z",FALSE,"West Virginia","Big 12","Kansas","Big 12",3842,"Milan Puskar Stadium",81.5,61.7,51,0,0,230,4.7,1013.1,3,"Cloudy"
401644735,2024,4,"regular","2024-09-21T17:00:00.000Z",FALSE,"Central Michigan","Mid-American","Ball State","Mid-American",3786,"Kelly/Shorts Stadium",83.1,49.3,31,0,0,260,8.1,1013,1,"Clear"
