"season","team","conference","statName","statValue"
2024,"Alabama","SEC","rushingYards",2262
2024,"Alabama","SEC","rushingYardsOpponent",1801
2024,"Alabama","SEC","sacks",25
2024,"Alabama","SEC","sacksOpponent",24
2024,"Alabama","SEC","tacklesForLoss",71
2024,"Alabama","SEC","tacklesForLossOpponent",77
2024,"Alabama","SEC","thirdDownConversions",78
2024,"Alabama","SEC","thirdDownConversionsOpponent",62
2024,"Alabama","SEC","thirdDowns",164
2024,"Alabama","SEC","thirdDownsOpponent",192
2024,"Alabama","SEC","totalYards",5335
2024,"Alabama","SEC","totalYardsOpponent",4170
2024,"Alabama","SEC","turnovers",21
2024,"Alabama","SEC","turnoversOpponent",28
2024,"App State","Sun Belt","firstDowns",263
2024,"App State","Sun Belt","firstDownsOpponent",234
2024,"App State","Sun Belt","fourthDownConversions",13
2024,"App State","Sun Belt","fourthDownConversionsOpponent",6
2024,"App State","Sun Belt","fourthDowns",22
2024,"App State","Sun Belt","fourthDownsOpponent",15
2024,"App State","Sun Belt","fumblesLost",6
2024,"App State","Sun Belt","fumblesLostOpponent",9
2024,"App State","Sun Belt","fumblesRecovered",9
2024,"App State","Sun Belt","fumblesRecoveredOpponent",6
2024,"App State","Sun Belt","games",11
2024,"App State","Sun Belt","interceptions",16
2024,"App State","Sun Belt","interceptionsOpponent",4
2024,"App State","Sun Belt","interceptionTDs",0
2024,"App State","Sun Belt","interceptionTDsOpponent",2
2024,"App State","Sun Belt","interceptionYards",21
2024,"App State","Sun Belt","interceptionYardsOpponent",213
2024,"App State","Sun Belt","kickReturns",25
2024,"App State","Sun Belt","kickReturnsOpponent",27
2024,"App State","Sun Belt","kickReturnTDs",0
2024,"App State","Sun Belt","kickReturnTDsOpponent",0
2024,"App State","Sun Belt","kickReturnYards",500
2024,"App State","Sun Belt","kickReturnYardsOpponent",505
2024,"App State","Sun Belt","netPassingYards",3002
2024,"App State","Sun Belt","netPassingYardsOpponent",2361
2024,"App State","Sun Belt","passAttempts",392
2024,"App State","Sun Belt","passAttemptsOpponent",281
2024,"App State","Sun Belt","passCompletions",218
2024,"App State","Sun Belt","passCompletionsOpponent",193
2024,"App State","Sun Belt","passesIntercepted",4
2024,"App State","Sun Belt","passesInterceptedOpponent",16
2024,"App State","Sun Belt","passingTDs",23
2024,"App State","Sun Belt","passingTDsOpponent",20
2024,"App State","Sun Belt","penalties",66
