game_id,season,week,season_type,start_time,game_indoors,home_team,home_conference,away_team,away_conference,venue_id,venue,temperature,dew_point,humidity,precipitation,snowfall,wind_direction,wind_speed,pressure,weather_condition_code,weather_condition
401676093,2024,12,regular,2024-11-16T18:00:00.000Z,FALSE,Ohio Wesleyan,North Coast,Denison University,North Coast,6099,Selby Stadium,49.8,39,66,0,0,340,3.4,1022,3,Cloudy
401636923,2024,12,regular,2024-11-16T03:15:00.000Z,FALSE,Arizona,Big 12,Houston,Big 12,3619,Arizona Stadium,57.9,26.8,30,0,0,210,4.3,1011,1,Clear
401628685,2024,12,regular,2024-11-16T17:00:00.000Z,FALSE,Hampton,CAA,Richmond,CAA,3620,Armstrong Stadium,59.4,42.8,54,0,0,330,8.1,1015.9,3,Cloudy
401673444,2024,12,regular,2024-11-16T18:00:00.000Z,FALSE,Lebanon Valley,Mid Atlantic,Albright,Mid Atlantic,3621,Arnold Field (PA),57.4,39,50,0,0,335,15.2,1016.1,3,Cloudy
401654594,2024,12,regular,2024-11-16T17:00:00.000Z,FALSE,Duquesne,NEC,Wagner,NEC,3623,Arthur J. Rooney Athletic Field,50.2,39.4,66,0,0,340,5.8,1022.1,4,Overcast
401675984,2024,12,regular,2024-11-16T19:00:00.000Z,FALSE,Wisconsin-River Falls,Wisconsin,Wisconsin-Oshkosh,Wisconsin,5901,David Smith Stadium at Ramer Field,53.4,43.3,68,0,0,144,15,1008.3,3,Cloudy
401674935,2024,12,regular,2024-11-16T18:00:00.000Z,FALSE,Kalamazoo,Michigan,Trine University,Michigan,5904,Angell Field,54.1,41.9,63,0,0,150,8.1,1021.1,3,Cloudy
401676243,2024,12,regular,2024-11-16T18:00:00.000Z,FALSE,Kean,New Jersey,Salisbury,New Jersey,5905,Kean Alumni Stadium,63.3,29.7,28,0,0,330,11.4,1012,1,Clear
401674932,2024,12,regular,2024-11-16T18:00:00.000Z,FALSE,Olivet College,Michigan,Hope College,Michigan,6100,Cutler Field,51.3,40.5,66,0,0,140,7,1021,3,Cloudy
401676367,2024,12,regular,2024-11-16T17:00:00.000Z,FALSE,Otterbein,Ohio,Ohio Northern,Ohio,6101,"Memorial Stadium (Westerville, OH)",54.3,43.3,66,0,0,40,5.8,1022.5,3,Cloudy
401676320,2024,12,regular,2024-11-16T21:00:00.000Z,FALSE,Pacific Lutheran,Northwest,Puget Sound,Northwest,6102,Sparks Stadium,46.4,41,81,0.016,0,180,4.3,1013,8,Rain
401654556,2024,12,regular,2024-11-16T01:00:00.000Z,FALSE,North Carolina Central,MEAC,Howard,MEAC,3862,O'Kelly-Riddick Stadium,48.4,46.4,93,0,0,0,0,1014.9,2,Fair
401654468,2024,12,regular,2024-11-16T17:00:00.000Z,FALSE,Yale,Ivy,Princeton,Ivy,3997,Yale Bowl,63,22.5,21,0,0,320,15,1008.9,1,Clear
401628690,2024,12,regular,2024-11-16T18:00:00.000Z,FALSE,William & Mary,CAA,Bryant,CAA,3998,Zable Stadium,63.1,43.7,49,0,0,350,10.6,1015,3,Cloudy
401643831,2024,12,regular,2024-11-16T22:00:00.000Z,FALSE,Georgia State,Sun Belt,Arkansas State,Sun Belt,4246,Center Parc Stadium,62.2,49.1,62,0,0,27,2.5,1018,1,Clear
401643761,2024,12,regular,2024-11-17T02:30:00.000Z,FALSE,New Mexico,Mountain West,Washington State,Pac-12,3971,University Stadium (NM),47.3,24.3,40,0,0,40,6.8,1011,2,Fair
401734018,2024,12,regular,2024-11-16T21:00:00.000Z,FALSE,Claremont-Mudd-Scripps College,So. Cal.,Redlands,So. Cal.,5821,Fritz B. Burns Stadium,64.4,35.8,34,0,0,0,0,1013,2,Fair
401733667,2024,12,regular,2024-11-16T17:00:00.000Z,FALSE,Miles College,SIAC,Clark Atlanta,SIAC,6027,Albert J. H. Sloan - Alumni Stadium,67.1,48,50,0,0,230,4.7,1019.7,2,Fair
401674483,2024,12,regular,2024-11-16T20:00:00.000Z,FALSE,Oklahoma Baptist,Great American,Southern Nazarene,Great American,6064,Crain Family Stadium,76.8,53.6,44,0,0,170,18.3,1009,3,Cloudy
401654615,2024,13,regular,2024-11-23T18:00:00.000Z,FALSE,Fordham,Patriot,Merrimack,FCS Independents,150,Jack Coffey Field,48.2,32.4,54,0,0,290,11.8,1002,3,Cloudy
401682281,2024,11,regular,2024-11-09T17:00:00.000Z,FALSE,Westfield State,MSCAC,UMass Dartmouth,MSCAC,6144,"Alumni Field (Westfield, MA)",54,17.1,23,0,0,310,12.7,1025,1,Clear
401635583,2024,12,regular,2024-11-17T01:00:00.000Z,FALSE,North Carolina,ACC,Wake Forest,ACC,3787,Kenan Stadium,48,44.1,86,0,0,0,0,1018.8,2,Fair
401676125,2024,11,regular,2024-11-09T18:00:00.000Z,FALSE,Westminster College (MO),Upper Midwest,Minnesota Morris,Upper Midwest,6145,Blue Jay Stadium,54.9,52.9,93,0.004,0,120,8.1,1015,7,Light Rain
401636936,2024,13,regular,2024-11-24T00:30:00.000Z,FALSE,Utah,Big 12,Iowa State,Big 12,587,Rice-Eccles Stadium,45,32.2,61,0,0,310,16.2,1008,4,Overcast
401675537,2024,12,regular,2024-11-17T01:00:00.000Z,FALSE,Texas A&M-Kingsville,Lone Star,Eastern New Mexico,Lone Star,6076,Javelina Stadium,72,66.2,82,0,0,140,7,1009.7,3,Cloudy
401676329,2024,11,regular,2024-11-09T21:00:00.000Z,FALSE,Willamette,Northwest,Pacific (OR),Northwest,6149,McCulloch Stadium,56.1,45.3,67,0,0,163,2.9,1015,5,Fog
401676254,2024,11,regular,2024-11-09T18:00:00.000Z,FALSE,William Paterson,New Jersey,College Of New Jersey,New Jersey,6150,Wightman Stadium,54.1,15.1,21,0,0,320,10.6,1026,1,Clear
401628694,2024,13,regular,2024-11-23T18:00:00.000Z,FALSE,Villanova,CAA,Delaware,CAA,717,Villanova Stadium,49.6,31.6,50,0,0,300,12.4,1006,3,Cloudy
401644773,2024,13,regular,2024-11-21T00:00:00.000Z,FALSE,Toledo,Mid-American,Ohio,Mid-American,3739,Glass Bowl,43.2,33.3,68,0,0,240,6.8,1008,1,Clear
401628561,2024,13,regular,2024-11-24T03:30:00.000Z,FALSE,UCLA,Big Ten,USC,Big Ten,1056,Rose Bowl,57.7,50.9,78,0,0,140,7,1014.6,3,Cloudy
401634129,2024,13,regular,2024-11-23T23:00:00.000Z,TRUE,Idaho State,Big Sky,Idaho,Big Sky,1930,Holt Arena,40.6,31.6,70,0,0,210,12.7,1009,3,Cloudy
401635518,2024,13,regular,2024-11-23T17:00:00.000Z,TRUE,Syracuse,ACC,UConn,FBS Independents,1964,JMA Wireless Dome,46.4,36.3,68,0,0,290,13.9,1005,4,Overcast
401635612,2024,13,regular,2024-11-23T17:00:00.000Z,FALSE,Boston College,ACC,North Carolina,ACC,3615,"Alumni Stadium (Chestnut Hill, MA)",44.2,36.5,74,0.02,0,300,17.4,991,7,Light Rain
401634128,2024,13,regular,2024-11-23T20:00:00.000Z,TRUE,Northern Arizona,Big Sky,Eastern Washington,Big Sky,2023,Walkup Skydome,57.7,7.3,13,0,0,220,23,1018,1,Clear
401636932,2024,13,regular,2024-11-23T20:30:00.000Z,FALSE,Kansas,Big 12,Colorado,Big 12,3622,GEHA Field at Arrowhead Stadium,59.7,29.8,32,0,0,140,11.4,1012.4,1,Clear
401654581,2024,13,regular,2024-11-23T17:00:00.000Z,FALSE,Central Connecticut,NEC,Duquesne,NEC,3624,Arute Field,44.6,36.9,74,0,0,310,11.4,996,3,Cloudy
401643839,2024,13,regular,2024-11-23T20:00:00.000Z,FALSE,Arkansas State,Sun Belt,UL Monroe,Sun Belt,3625,Centennial Bank Stadium,55.2,36.3,49,0,0,250,5.6,1020,5,Fog
401644772,2024,13,regular,2024-11-21T00:00:00.000Z,FALSE,Eastern Michigan,Mid-American,Buffalo,Mid-American,3912,Rynearson Stadium,35.8,31.6,85,0,0,230,10.6,1006,1,Clear
401634772,2024,13,regular,2024-11-22T00:30:00.000Z,FALSE,Georgia Tech,ACC,NC State,ACC,721,Bobby Dodd Stadium,46.6,25.7,44,0,0,280,11.4,1012.4,1,Clear
401638698,2024,13,regular,2024-11-23T18:00:00.000Z,FALSE,Presbyterian,Pioneer,Butler,Pioneer,3627,Bailey Memorial Stadium,61,35.8,39,0,0,310,5.6,1015,2,Fair
401644604,2024,12,regular,2024-11-16T18:00:00.000Z,FALSE,Pennsylvania,Ivy,Harvard,Ivy,3730,Franklin Field,62.1,38.1,41,0,0,330,19.7,1013.4,2,Fair
401634126,2024,12,regular,2024-11-16T19:00:00.000Z,FALSE,Northern Colorado,Big Sky,Northern Arizona,Big Sky,3856,Nottingham Field,52.7,13.8,21,0,0,138,3.4,1006,1,Clear
401634124,2024,12,regular,2024-11-16T20:00:00.000Z,FALSE,Montana,Big Sky,Portland State,Big Sky,3987,Washington-Grizzly Stadium,41,21.7,46,0,0,290,5.8,1014.7,3,Cloudy
401638697,2024,12,regular,2024-11-16T17:00:00.000Z,FALSE,Dayton,Pioneer,Valparaiso,Pioneer,3988,Welcome Stadium,51.3,40.3,66,0,0,80,3.4,1022.5,3,Cloudy
401654503,2024,12,regular,2024-11-16T17:00:00.000Z,FALSE,Norfolk State,MEAC,Delaware State,MEAC,3991,"William Dick"""" Price Stadium""""",60.1,43,53,0,0,360,11.4,1015.3,2,Fair
401734008,2024,12,regular,2024-11-16T20:00:00.000Z,FALSE,Virginia St,CIAA,Virginia Union,CIAA,4134,Salem Stadium,64.2,42.3,44,0,0,270,10.3,1018.6,2,Fair
401734012,2024,12,regular,2024-11-16T18:00:00.000Z,FALSE,Saint John's (MN),Minnesota,Bethel (MN),Minnesota,5117,Clemens Stadium,57.6,44.4,61,0,0,140,19.7,1005.2,1,Clear
